nohup: ignoring input
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 4500 Training Error: 82.90057373046875 Validation Error: 94.73712158203125 Test Error: 103.20660400390625
Round: 5000 Training Error: 82.91958618164062 Validation Error: 95.67900085449219 Test Error: 103.62542724609375
Round: 5500 Training Error: 82.90752410888672 Validation Error: 94.277099609375 Test Error: 103.05211639404297
Round: 6000 Training Error: 82.65778350830078 Validation Error: 95.33554077148438 Test Error: 103.60694885253906
Round: 6500 Training Error: 82.61324310302734 Validation Error: 95.28738403320312 Test Error: 103.30891418457031
Round: 7000 Training Error: 82.59375762939453 Validation Error: 95.39682006835938 Test Error: 103.6021728515625
Round: 7500 Training Error: 82.65386199951172 Validation Error: 95.2472915649414 Test Error: 103.65431213378906
Round: 8000 Training Error: 82.58275604248047 Validation Error: 94.88056182861328 Test Error: 103.26505279541016
Round: 8500 Training Error: 82.86844635009766 Validation Error: 94.1539535522461 Test Error: 102.50516510009766
Round: 9000 Training Error: 82.35565185546875 Validation Error: 95.14897155761719 Test Error: 103.7939453125
Round: 9500 Training Error: 82.50731658935547 Validation Error: 94.9474868774414 Test Error: 103.25560760498047
Round: 10000 Training Error: 82.378662109375 Validation Error: 94.68860626220703 Test Error: 103.16487884521484
Round: 10500 Training Error: 82.26070404052734 Validation Error: 93.56686401367188 Test Error: 102.9974594116211
Round: 11000 Training Error: 82.2904281616211 Validation Error: 93.75859832763672 Test Error: 102.85649871826172
Round: 11500 Training Error: 82.16539764404297 Validation Error: 94.07715606689453 Test Error: 103.43222045898438
Round: 12000 Training Error: 82.483642578125 Validation Error: 93.13414764404297 Test Error: 103.03705596923828
Round: 12500 Training Error: 82.1102066040039 Validation Error: 93.37841033935547 Test Error: 103.26207733154297
Round: 13000 Training Error: 82.39481353759766 Validation Error: 92.38053894042969 Test Error: 102.69369506835938
Round: 13500 Training Error: 82.02781677246094 Validation Error: 93.3435287475586 Test Error: 103.25613403320312
Round: 14000 Training Error: 82.05906677246094 Validation Error: 93.34001922607422 Test Error: 103.23631286621094
Round: 14500 Training Error: 82.56474304199219 Validation Error: 92.80477142333984 Test Error: 103.54228210449219
Round: 15000 Training Error: 82.14033508300781 Validation Error: 92.69035339355469 Test Error: 103.61624145507812
Round: 15500 Training Error: 83.95008087158203 Validation Error: 93.5367431640625 Test Error: 105.63772583007812
Round: 16000 Training Error: 82.07543182373047 Validation Error: 92.7359390258789 Test Error: 103.28749084472656
Round: 16500 Training Error: 82.032470703125 Validation Error: 93.49557495117188 Test Error: 103.5663833618164
Round: 17000 Training Error: 82.0386962890625 Validation Error: 93.27497100830078 Test Error: 103.15967559814453
Round: 17500 Training Error: 82.4537124633789 Validation Error: 93.34893035888672 Test Error: 103.5380630493164
Round: 18000 Training Error: 82.07465362548828 Validation Error: 94.05387878417969 Test Error: 103.4941635131836
Round: 18500 Training Error: 82.13619995117188 Validation Error: 93.44287109375 Test Error: 103.64908599853516
Round: 19000 Training Error: 82.15050506591797 Validation Error: 92.84151458740234 Test Error: 103.4573745727539
Round: 19500 Training Error: 81.90717315673828 Validation Error: 93.21143341064453 Test Error: 103.51734161376953
Round: 20000 Training Error: 84.1549072265625 Validation Error: 92.94306945800781 Test Error: 103.99124145507812
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 500 Training Error: 94.82506561279297 Validation Error: 102.96308898925781 Test Error: 113.18164825439453
Round: 1000 Training Error: 91.6866683959961 Validation Error: 100.3200912475586 Test Error: 111.05645751953125
Round: 1500 Training Error: 88.79689025878906 Validation Error: 95.6025619506836 Test Error: 105.5314712524414
Round: 2000 Training Error: 88.27973175048828 Validation Error: 94.82841491699219 Test Error: 104.87346649169922
Round: 2500 Training Error: 87.90567016601562 Validation Error: 95.60485076904297 Test Error: 105.23688507080078
Round: 3000 Training Error: 87.88461303710938 Validation Error: 95.30319213867188 Test Error: 105.26322937011719
Round: 3500 Training Error: 87.6414794921875 Validation Error: 95.502685546875 Test Error: 104.80630493164062
Round: 4000 Training Error: 87.56993865966797 Validation Error: 95.60995483398438 Test Error: 104.77804565429688
Round: 4500 Training Error: 87.41374206542969 Validation Error: 95.70157623291016 Test Error: 105.38680267333984
Round: 5000 Training Error: 87.30130767822266 Validation Error: 96.28271484375 Test Error: 105.31160736083984
Round: 5500 Training Error: 87.2956771850586 Validation Error: 95.55453491210938 Test Error: 105.03392028808594
Round: 6000 Training Error: 87.18114471435547 Validation Error: 96.03948974609375 Test Error: 105.36953735351562
Round: 6500 Training Error: 87.26986694335938 Validation Error: 96.2859878540039 Test Error: 105.70662689208984
Round: 7000 Training Error: 87.13603973388672 Validation Error: 96.58173370361328 Test Error: 105.93276977539062
Round: 7500 Training Error: 87.17878723144531 Validation Error: 96.12608337402344 Test Error: 105.27393341064453
Round: 8000 Training Error: 87.21170806884766 Validation Error: 95.4398422241211 Test Error: 105.375244140625
Round: 8500 Training Error: 87.0584716796875 Validation Error: 95.46726989746094 Test Error: 105.51697540283203
Round: 9000 Training Error: 87.16629791259766 Validation Error: 95.0810546875 Test Error: 105.22613525390625
Round: 9500 Training Error: 86.90442657470703 Validation Error: 95.64524841308594 Test Error: 105.41770935058594
Round: 10000 Training Error: 86.80016326904297 Validation Error: 95.52069091796875 Test Error: 105.37506866455078
Round: 10500 Training Error: 87.0484390258789 Validation Error: 96.1893310546875 Test Error: 106.10718536376953
Round: 11000 Training Error: 86.81197357177734 Validation Error: 95.27998352050781 Test Error: 104.90679931640625
Round: 11500 Training Error: 86.94078063964844 Validation Error: 95.69434356689453 Test Error: 105.19227600097656
Round: 12000 Training Error: 87.05651092529297 Validation Error: 94.6131591796875 Test Error: 104.82796478271484
Round: 12500 Training Error: 87.06086730957031 Validation Error: 95.56082153320312 Test Error: 105.40206909179688
Round: 13000 Training Error: 86.83953857421875 Validation Error: 94.41921997070312 Test Error: 105.31536102294922
Round: 13500 Training Error: 86.6351089477539 Validation Error: 95.16364288330078 Test Error: 105.22025299072266
Round: 14000 Training Error: 86.6618423461914 Validation Error: 95.45191192626953 Test Error: 105.76397705078125
Round: 14500 Training Error: 86.73886108398438 Validation Error: 95.12461853027344 Test Error: 105.76422882080078
Round: 15000 Training Error: 86.73482513427734 Validation Error: 94.916748046875 Test Error: 105.47240447998047
Round: 15500 Training Error: 86.75994873046875 Validation Error: 95.57183074951172 Test Error: 106.1076889038086
Round: 16000 Training Error: 86.68171691894531 Validation Error: 95.2516098022461 Test Error: 105.15412902832031
