nohup: ignoring input
010.sh: line 2: 12899 Killed                  CUDA_VISIBLE_DEVICES=0 python -W ignore cnn-tree-107.py 1 0.001 20000 0.0 0 hvac
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['fridge']
Round: 19000 Training Error: tensor(24.9788, device='cuda:0') Validation Error: tensor(32.9493, device='cuda:0') Test Error: tensor(31.7956, device='cuda:0')
Round: 19500 Training Error: tensor(24.9441, device='cuda:0') Validation Error: tensor(32.9809, device='cuda:0') Test Error: tensor(31.8736, device='cuda:0')
Round: 20000 Training Error: tensor(24.9460, device='cuda:0') Validation Error: tensor(33.0491, device='cuda:0') Test Error: tensor(31.8539, device='cuda:0')
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['dr']
Round: 500 Training Error: tensor(71.9442, device='cuda:0') Validation Error: tensor(62.2482, device='cuda:0') Test Error: tensor(50.3577, device='cuda:0')
Round: 1000 Training Error: tensor(69.1489, device='cuda:0') Validation Error: tensor(60.2873, device='cuda:0') Test Error: tensor(47.7932, device='cuda:0')
Round: 1500 Training Error: tensor(65.6265, device='cuda:0') Validation Error: tensor(58.4245, device='cuda:0') Test Error: tensor(44.3424, device='cuda:0')
Round: 2000 Training Error: tensor(63.1028, device='cuda:0') Validation Error: tensor(57.9537, device='cuda:0') Test Error: tensor(42.7133, device='cuda:0')
Round: 2500 Training Error: tensor(62.2348, device='cuda:0') Validation Error: tensor(58.2472, device='cuda:0') Test Error: tensor(42.6356, device='cuda:0')
Round: 3000 Training Error: tensor(61.9157, device='cuda:0') Validation Error: tensor(58.4199, device='cuda:0') Test Error: tensor(42.5894, device='cuda:0')
Round: 3500 Training Error: tensor(60.8907, device='cuda:0') Validation Error: tensor(57.2889, device='cuda:0') Test Error: tensor(42.1526, device='cuda:0')
Round: 4000 Training Error: tensor(59.7478, device='cuda:0') Validation Error: tensor(57.7233, device='cuda:0') Test Error: tensor(41.4618, device='cuda:0')
Round: 4500 Training Error: tensor(59.1396, device='cuda:0') Validation Error: tensor(57.0019, device='cuda:0') Test Error: tensor(41.0450, device='cuda:0')
Round: 5000 Training Error: tensor(58.4449, device='cuda:0') Validation Error: tensor(57.2720, device='cuda:0') Test Error: tensor(41.3911, device='cuda:0')
Round: 5500 Training Error: tensor(58.5435, device='cuda:0') Validation Error: tensor(57.7045, device='cuda:0') Test Error: tensor(40.9596, device='cuda:0')
Round: 6000 Training Error: tensor(58.2192, device='cuda:0') Validation Error: tensor(57.3832, device='cuda:0') Test Error: tensor(41.4254, device='cuda:0')
Round: 6500 Training Error: tensor(58.0135, device='cuda:0') Validation Error: tensor(57.3976, device='cuda:0') Test Error: tensor(41.3412, device='cuda:0')
Round: 7000 Training Error: tensor(57.9436, device='cuda:0') Validation Error: tensor(57.3286, device='cuda:0') Test Error: tensor(41.5081, device='cuda:0')
Round: 7500 Training Error: tensor(58.0350, device='cuda:0') Validation Error: tensor(57.5820, device='cuda:0') Test Error: tensor(41.0822, device='cuda:0')
Round: 8000 Training Error: tensor(57.7600, device='cuda:0') Validation Error: tensor(57.1525, device='cuda:0') Test Error: tensor(41.5825, device='cuda:0')
Round: 8500 Training Error: tensor(57.7838, device='cuda:0') Validation Error: tensor(57.4979, device='cuda:0') Test Error: tensor(41.1726, device='cuda:0')
Round: 9000 Training Error: tensor(57.5770, device='cuda:0') Validation Error: tensor(57.2298, device='cuda:0') Test Error: tensor(41.5958, device='cuda:0')
Round: 9500 Training Error: tensor(57.4692, device='cuda:0') Validation Error: tensor(57.1554, device='cuda:0') Test Error: tensor(41.8829, device='cuda:0')
