nohup: ignoring input
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 13000 Training Error: 71.56446838378906 Validation Error: 101.39698028564453 Test Error: 90.2873306274414
Round: 13500 Training Error: 71.52106475830078 Validation Error: 101.1458740234375 Test Error: 90.0555191040039
Round: 14000 Training Error: 71.61427307128906 Validation Error: 102.00914001464844 Test Error: 91.16021728515625
Round: 14500 Training Error: 71.66460418701172 Validation Error: 101.66597747802734 Test Error: 91.15601348876953
Round: 15000 Training Error: 71.59696960449219 Validation Error: 101.15401458740234 Test Error: 90.03248596191406
Round: 15500 Training Error: 71.66304779052734 Validation Error: 100.67369842529297 Test Error: 89.59039306640625
Round: 16000 Training Error: 71.54566192626953 Validation Error: 101.77713775634766 Test Error: 90.95723724365234
Round: 16500 Training Error: 71.5817642211914 Validation Error: 101.73942565917969 Test Error: 90.80721282958984
Round: 17000 Training Error: 71.55136108398438 Validation Error: 100.63200378417969 Test Error: 89.94465637207031
Round: 17500 Training Error: 71.4540786743164 Validation Error: 101.37014770507812 Test Error: 91.23521423339844
Round: 18000 Training Error: 71.57592010498047 Validation Error: 100.78412628173828 Test Error: 90.40896606445312
Round: 18500 Training Error: 71.43880462646484 Validation Error: 101.65513610839844 Test Error: 91.453369140625
Round: 19000 Training Error: 71.33341217041016 Validation Error: 101.51715850830078 Test Error: 91.10636138916016
Round: 19500 Training Error: 71.49702453613281 Validation Error: 101.8669662475586 Test Error: 91.58932495117188
Round: 20000 Training Error: 71.36727905273438 Validation Error: 101.60401916503906 Test Error: 91.57569122314453
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 500 Training Error: 75.7636489868164 Validation Error: 99.34785461425781 Test Error: 85.80900573730469
Round: 1000 Training Error: 74.3167495727539 Validation Error: 98.78358459472656 Test Error: 86.19258117675781
Round: 1500 Training Error: 73.7466812133789 Validation Error: 98.28473663330078 Test Error: 86.61616516113281
Round: 2000 Training Error: 73.65045166015625 Validation Error: 98.67021179199219 Test Error: 87.06396484375
Round: 2500 Training Error: 73.49213409423828 Validation Error: 97.44878387451172 Test Error: 86.26910400390625
Round: 3000 Training Error: 73.00444030761719 Validation Error: 97.8449478149414 Test Error: 86.51371002197266
Round: 3500 Training Error: 72.94259643554688 Validation Error: 97.58622741699219 Test Error: 85.89044952392578
Round: 4000 Training Error: 72.99938201904297 Validation Error: 98.17396545410156 Test Error: 86.4975814819336
Round: 4500 Training Error: 73.08150482177734 Validation Error: 97.90238189697266 Test Error: 85.89498138427734
Round: 5000 Training Error: 72.67675018310547 Validation Error: 97.6166763305664 Test Error: 86.16226196289062
Round: 5500 Training Error: 72.74567413330078 Validation Error: 98.14612579345703 Test Error: 86.72376251220703
Round: 6000 Training Error: 72.62333679199219 Validation Error: 97.78162384033203 Test Error: 85.99079132080078
Round: 6500 Training Error: 72.72476196289062 Validation Error: 97.6974105834961 Test Error: 85.859619140625
Round: 7000 Training Error: 72.4492416381836 Validation Error: 97.38341522216797 Test Error: 85.94477844238281
Round: 7500 Training Error: 72.4580078125 Validation Error: 97.83252716064453 Test Error: 86.2862777709961
Round: 8000 Training Error: 72.40918731689453 Validation Error: 97.45062255859375 Test Error: 85.97595977783203
Round: 8500 Training Error: 72.35346221923828 Validation Error: 97.97203826904297 Test Error: 86.21517181396484
Round: 9000 Training Error: 72.20578002929688 Validation Error: 97.7677993774414 Test Error: 85.6552505493164
Round: 9500 Training Error: 72.23090362548828 Validation Error: 97.0982437133789 Test Error: 85.32657623291016
Round: 10000 Training Error: 72.28336334228516 Validation Error: 97.7181396484375 Test Error: 85.550048828125
Round: 10500 Training Error: 72.04597473144531 Validation Error: 97.3932113647461 Test Error: 85.28266906738281
Round: 11000 Training Error: 72.1401138305664 Validation Error: 97.3726577758789 Test Error: 85.40499877929688
Round: 11500 Training Error: 72.05818176269531 Validation Error: 97.44689178466797 Test Error: 85.3948974609375
Round: 12000 Training Error: 71.99989318847656 Validation Error: 97.15538787841797 Test Error: 84.70934295654297
Round: 12500 Training Error: 71.99207305908203 Validation Error: 97.52454376220703 Test Error: 85.49041748046875
Round: 13000 Training Error: 71.9378433227539 Validation Error: 97.72575378417969 Test Error: 85.21381378173828
Round: 13500 Training Error: 71.85857391357422 Validation Error: 97.41419219970703 Test Error: 85.20183563232422
Round: 14000 Training Error: 71.92797088623047 Validation Error: 97.54317474365234 Test Error: 85.0348892211914
Round: 14500 Training Error: 71.85881805419922 Validation Error: 98.81216430664062 Test Error: 85.27169799804688
Round: 15000 Training Error: 71.89209747314453 Validation Error: 97.21286010742188 Test Error: 84.62401580810547
Round: 15500 Training Error: 71.77375030517578 Validation Error: 97.57334899902344 Test Error: 85.0697021484375
Round: 16000 Training Error: 71.80146789550781 Validation Error: 97.84583282470703 Test Error: 85.40972137451172
Round: 16500 Training Error: 72.45877838134766 Validation Error: 98.3743667602539 Test Error: 86.41476440429688
Round: 17000 Training Error: 71.76187133789062 Validation Error: 98.3127670288086 Test Error: 85.19599151611328
Round: 17500 Training Error: 71.71556091308594 Validation Error: 98.26964569091797 Test Error: 85.70053100585938
Round: 18000 Training Error: 71.62113952636719 Validation Error: 98.29467010498047 Test Error: 85.47845458984375
Round: 18500 Training Error: 71.77201843261719 Validation Error: 97.52567291259766 Test Error: 85.37452697753906
Round: 19000 Training Error: 71.64938354492188 Validation Error: 99.32783508300781 Test Error: 85.76909637451172
Round: 19500 Training Error: 71.84709167480469 Validation Error: 99.67047882080078 Test Error: 85.754638671875
Round: 20000 Training Error: 74.17670440673828 Validation Error: 101.61006164550781 Test Error: 87.85838317871094
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 500 Training Error: 76.3617172241211 Validation Error: 101.30188751220703 Test Error: 89.65898895263672
Round: 1000 Training Error: 75.0863037109375 Validation Error: 100.78577423095703 Test Error: 89.30445861816406
Round: 1500 Training Error: 74.0229721069336 Validation Error: 100.82904052734375 Test Error: 89.55352783203125
Round: 2000 Training Error: 73.77751159667969 Validation Error: 100.7357177734375 Test Error: 88.9886245727539
Round: 2500 Training Error: 73.37066650390625 Validation Error: 101.25315856933594 Test Error: 89.26390838623047
