nohup: ignoring input
5 0 0.01 20000 0.8 ['dr', 'dw', 'residual', 'mw', 'hvac', 'fridge']
Round: 15000 Training Error: 150.16929626464844 Validation Error: 179.8156280517578 Test Error: 160.23561096191406
Round: 15500 Training Error: 125.91004180908203 Validation Error: 173.55679321289062 Test Error: 150.59255981445312
Round: 16000 Training Error: 150.70591735839844 Validation Error: 171.20416259765625 Test Error: 147.48622131347656
Round: 16500 Training Error: 123.53173828125 Validation Error: 175.3255615234375 Test Error: 149.498779296875
Round: 17000 Training Error: 150.38124084472656 Validation Error: 174.64175415039062 Test Error: 152.57125854492188
Round: 17500 Training Error: 125.91720581054688 Validation Error: 173.46188354492188 Test Error: 154.830810546875
Round: 18000 Training Error: 149.4123077392578 Validation Error: 172.7122039794922 Test Error: 151.1907958984375
Round: 18500 Training Error: 150.63575744628906 Validation Error: 175.37570190429688 Test Error: 151.4532012939453
Round: 19000 Training Error: 149.14804077148438 Validation Error: 170.29391479492188 Test Error: 147.7115478515625
Round: 19500 Training Error: 149.06494140625 Validation Error: 172.9967041015625 Test Error: 147.905517578125
Round: 20000 Training Error: 150.45803833007812 Validation Error: 174.2457733154297 Test Error: 149.1687469482422
