nohup: ignoring input
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'fridge', 'hvac', 'dw', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'fridge', 'hvac', 'mw', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'fridge', 'dw', 'hvac', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'fridge', 'dw', 'mw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'fridge', 'mw', 'hvac', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'fridge', 'mw', 'dw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'dw', 'hvac', 'fridge', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'dw', 'hvac', 'mw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'dw', 'fridge', 'hvac', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'dw', 'fridge', 'mw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'dw', 'mw', 'hvac', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'dw', 'mw', 'fridge', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'mw', 'hvac', 'fridge', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'mw', 'hvac', 'dw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'mw', 'fridge', 'hvac', 'dw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'mw', 'fridge', 'dw', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'mw', 'dw', 'hvac', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dr', 'residual', 'mw', 'dw', 'fridge', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'fridge', 'dr', 'mw', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'fridge', 'dr', 'residual', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'fridge', 'mw', 'dr', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'fridge', 'mw', 'residual', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'fridge', 'residual', 'dr', 'mw']
