nohup: ignoring input
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'hvac', 'fridge', 'dw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'hvac', 'dr', 'fridge', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'hvac', 'dr', 'dw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'hvac', 'dw', 'fridge', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'hvac', 'dw', 'dr', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'fridge', 'hvac', 'dr', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'fridge', 'hvac', 'dw', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'fridge', 'dr', 'hvac', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'fridge', 'dr', 'dw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'fridge', 'dw', 'hvac', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'fridge', 'dw', 'dr', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dr', 'hvac', 'fridge', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dr', 'hvac', 'dw', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dr', 'fridge', 'hvac', 'dw']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dr', 'fridge', 'dw', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dr', 'dw', 'hvac', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dr', 'dw', 'fridge', 'hvac']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dw', 'hvac', 'fridge', 'dr']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dw', 'hvac', 'dr', 'fridge']
2 4 RNN 50 1 0.001 3000 0.0 ['mw', 'dw', 'fridge', 'hvac', 'dr']
